# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles'
# Event count (approx.): 722242491911
#
# Children      Self       Samples  Command          Shared Object     Symbol                                   
# ........  ........  ............  ...............  ................  .........................................
#
     1.14%     0.57%           346  fio              [kernel.vmlinux]  [k] apparmor_file_permission
     1.11%     0.18%           107  fio              [kernel.vmlinux]  [k] sbitmap_get
     1.09%     0.85%           511  fio              [kernel.vmlinux]  [k] fsnotify
     1.07%     0.30%           180  fio              [kernel.vmlinux]  [k] set_page_dirty_lock
     1.06%     0.85%           512  fio              [kernel.vmlinux]  [k] preempt_count_sub
     1.05%     0.08%            48  fio              [kernel.vmlinux]  [k] iommu_iova_to_phys
     1.05%     0.50%           302  fio              [kernel.vmlinux]  [k] blk_cgroup_bio_start
     1.04%     0.24%           144  fio              [kernel.vmlinux]  [k] bio_check_pages_dirty
     1.02%     0.05%            28  fio              [kernel.vmlinux]  [k] __fdget
     1.02%     1.00%           606  fio              [kernel.vmlinux]  [k] dma_pte_clear_level
     1.00%     0.06%            37  fio              [kernel.vmlinux]  [k] io_req_rw_complete
     0.99%     0.11%            68  fio              [kernel.vmlinux]  [k] intel_iommu_iova_to_phys
     0.99%     0.61%           365  fio              [kernel.vmlinux]  [k] __fget_light
     0.97%     0.30%           179  fio              [kernel.vmlinux]  [k] bio_associate_blkg_from_css
     0.95%     0.17%           101  fio              [kernel.vmlinux]  [k] irq_exit_rcu
     0.94%     0.19%           115  fio              [kernel.vmlinux]  [k] debug_smp_processor_id
     0.92%     0.54%           324  fio              fio               [.] get_next_rand_offset
     0.88%     0.48%           290  fio              fio               [.] fio_uring_queue
     0.88%     0.56%           335  fio              fio               [.] fio_uring_event
     0.84%     0.43%           261  fio              fio               [.] add_slat_sample
     0.84%     0.16%            98  fio              [kernel.vmlinux]  [k] io_req_io_end
     0.82%     0.60%           363  fio              [kernel.vmlinux]  [k] ktime_get
     0.81%     0.04%            25  fio              [kernel.vmlinux]  [k] io_file_get_normal
     0.81%     0.46%           277  fio              [kernel.vmlinux]  [k] task_work_add
     0.80%     0.17%           103  fio              [kernel.vmlinux]  [k] __io_req_task_work_add
     0.80%     0.47%           283  fio              fio               [.] __get_next_rand_offset.constprop.0
     0.78%     0.53%           322  fio              [kernel.vmlinux]  [k] __rcu_read_unlock
     0.77%     0.12%            72  fio              [kernel.vmlinux]  [k] blk_mq_start_request
     0.75%     0.25%           148  fio              [kernel.vmlinux]  [k] fq_ring_free
     0.70%     0.45%           273  fio              [kernel.vmlinux]  [k] __rcu_read_lock
     0.68%     0.42%           255  fio              [kernel.vmlinux]  [k] fget
     0.64%     0.46%           276  fio              fio               [.] fio_uring_getevents
     0.63%     0.43%           261  fio              [kernel.vmlinux]  [k] sbitmap_find_bit
     0.63%     0.63%           380  fio              [kernel.vmlinux]  [k] sync_regs
     0.61%     0.17%           103  fio              [kernel.vmlinux]  [k] __irq_exit_rcu
     0.61%     0.39%           236  fio              fio               [.] io_completed
     0.60%     0.22%           133  fio              [kernel.vmlinux]  [k] _raw_spin_unlock_irqrestore
     0.60%     0.41%           246  fio              [nvme_core]       [k] nvme_setup_cmd
     0.58%     0.53%           318  fio              [kernel.vmlinux]  [k] mutex_unlock
     0.57%     0.40%           240  fio              [kernel.vmlinux]  [k] blkcg_set_ioprio
     0.57%     0.38%           228  fio              fio               [.] account_io_completion
     0.57%     0.24%           144  fio              [kernel.vmlinux]  [k] xas_load
     0.56%     0.46%           277  fio              [kernel.vmlinux]  [k] iommu_pgsize
     0.55%     0.29%           172  fio              [kernel.vmlinux]  [k] __blk_account_io_done
     0.53%     0.05%            30  fio              [kernel.vmlinux]  [k] blk_mq_attempt_bio_merge
     0.52%     0.34%           206  fio              fio               [.] td_io_commit
     0.51%     0.04%            25  fio              [kernel.vmlinux]  [k] blk_mq_put_tags
     0.51%     0.15%            91  fio              [kernel.vmlinux]  [k] __blk_account_io_start
     0.50%     0.34%           206  fio              fio               [.] io_u_queued_complete
     0.49%     0.31%           189  fio              [kernel.vmlinux]  [k] mutex_lock
     0.48%     0.39%           235  fio              fio               [.] io_u_mark_submit
     0.46%     0.43%           261  fio              [kernel.vmlinux]  [k] sbitmap_queue_clear_batch
     0.46%     0.04%            22  fio              [kernel.vmlinux]  [k] bio_put
     0.45%     0.27%           164  fio              fio               [.] add_clat_sample
     0.45%     0.24%           144  fio              [kernel.vmlinux]  [k] blk_stat_add
     0.44%     0.23%           139  fio              [kernel.vmlinux]  [k] apic_ack_irq
     0.44%     0.20%           121  fio              [kernel.vmlinux]  [k] io_prep_rw
     0.44%     0.22%           134  fio              fio               [.] axmap_set_nr
     0.43%     0.30%           183  fio              [kernel.vmlinux]  [k] __radix_tree_lookup
     0.43%     0.02%            13  fio              [kernel.vmlinux]  [k] radix_tree_lookup
     0.42%     0.16%            98  fio              [kernel.vmlinux]  [k] copy_user_enhanced_fast_string
     0.41%     0.31%           186  fio              [kernel.vmlinux]  [k] _raw_spin_lock_irq
     0.40%     0.36%           220  fio              [kernel.vmlinux]  [k] iommu_get_dma_domain
     0.40%     0.37%           226  fio              [kernel.vmlinux]  [k] entry_SYSRETQ_unsafe_stack
     0.40%     0.27%           160  fio              [kernel.vmlinux]  [k] _copy_from_user
     0.39%     0.39%           237  fio              [kernel.vmlinux]  [k] try_grab_folio
     0.39%     0.24%           146  fio              fio               [.] __get_io_u
     0.39%     0.08%            50  fio              [kernel.vmlinux]  [k] free_iova_fast
     0.37%     0.36%           215  fio              [kernel.vmlinux]  [k] syscall_return_via_sysret
     0.37%     0.30%           179  fio              [kernel.vmlinux]  [k] bio_uninit
     0.37%     0.35%           211  fio              [kernel.vmlinux]  [k] error_entry
     0.37%     0.36%           215  fio              [kernel.vmlinux]  [k] __bio_release_pages
     0.36%     0.21%           128  fio              [kernel.vmlinux]  [k] bio_put_percpu_cache
     0.35%     0.23%           140  fio              [kernel.vmlinux]  [k] copy_user_short_string
     0.35%     0.18%           108  fio              [kernel.vmlinux]  [k] blk_account_io_completion
     0.34%     0.12%            75  fio              [kernel.vmlinux]  [k] io_rw_init_file
     0.34%     0.03%            19  fio              [kernel.vmlinux]  [k] set_page_dirty
     0.33%     0.22%           132  fio              fio               [.] add_lat_sample
     0.33%     0.00%             0  fio              [unknown]         [.] 0x0000000000000001
     0.33%     0.22%           133  fio              [kernel.vmlinux]  [k] io_file_get_flags
     0.33%     0.22%           130  fio              [kernel.vmlinux]  [k] blk_mq_sched_bio_merge
     0.32%     0.06%            35  fio              [kernel.vmlinux]  [k] __rq_qos_throttle
     0.32%     0.21%           125  fio              [kernel.vmlinux]  [k] error_return
     0.32%     0.20%           120  fio              [kernel.vmlinux]  [k] in_lock_functions
